world_x,world_y,world_heading,local_vx,local_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake,time,total_v
323.5807189941406,-219.0360870361328,0.35884541273117065,16.939479763125462,0.8154989221914197,2.7562003660088497,-25.457569122314453,-0.014570122584700584,1.0,0,0.0,175.27611875534058,16.959098240691706
324.34027099609375,-218.994384765625,-0.6611632704734802,16.915998336408478,0.8189497861825504,2.7716815136401207,-21.32557487487793,0.0006042481400072575,1.0,0,0.0,175.31957364082336,16.935810534771072
325.0920104980469,-218.96673583984375,-1.482177734375,16.896445024353287,0.8116925020889865,2.7503317619237153,-17.04287338256836,0.011716234497725964,1.0,0,0.0,175.36985540390015,16.91593033737549
325.8630676269531,-218.95091247558594,-2.132873773574829,16.89815855982647,0.777916360762174,2.635782981072398,-12.887038230895996,0.017961526289582253,1.0,0,0.0,175.41941285133362,16.9160549945127
326.62542724609375,-218.94586181640625,-2.5936286449432373,16.950229782862515,0.7335500611856162,2.478026241492358,-8.960004806518555,0.024577701464295387,1.0,0,0.0,175.45504522323608,16.96609517196296
327.3990478515625,-218.94979858398438,-2.892731189727783,17.00209692036211,0.6702905275562901,2.2576592013820194,-5.447988986968994,0.026525994762778282,1.0,0,0.0,175.51851177215576,17.01530455445093
328.4049072265625,-218.96597290039062,-3.074676990509033,17.06474011919981,0.5657857889849289,1.898960521357944,-1.7829453945159912,0.026525994762778282,1.0,0,0.0,175.55245852470398,17.0741169286978
329.1590576171875,-218.9844512939453,-3.087707996368408,17.108565122720016,0.4837916412101807,1.6197638224314816,0.40283241868019104,0.026525994762778282,1.0,0,0.0,175.60180377960205,17.11540402416655
329.41815185546875,-218.99172973632812,-3.0716559886932373,17.123067412345183,0.4562588469346588,1.526334146751399,1.059834599494934,0.026525994762778282,1.0,0,0.0,175.61536288261414,17.12914503830018
329.6783447265625,-218.9994659423828,-3.046234607696533,17.13736466899662,0.4292374459923005,1.4347803187357027,1.675769567489624,0.026525994762778282,1.0,0,0.0,175.63137698173523,17.142739354701035
330.2159729003906,-219.0164031982422,-2.966430425643921,17.166097117087613,0.37582457128147273,1.254200214706296,2.820098876953125,0.026525994762778282,1.0,0,0.0,175.66751861572266,17.170210666781657
331.2702331542969,-219.05189514160156,-2.721985340118408,17.219612837120426,0.28314081273915603,0.9420253635066647,4.622701644897461,0.026525994762778282,1.0,0,0.0,175.7312512397766,17.22194051145692
332.0583190917969,-219.07882690429688,-2.478454828262329,17.257521980190702,0.22473182398095148,0.7460780001299877,5.654914855957031,0.026525994762778282,1.0,0,0.0,175.76678705215454,17.258985175539
332.3200378417969,-219.08758544921875,-2.388305902481136,17.269762364738718,0.20742491299617827,0.6881392220747181,5.947726726531982,0.026525994762778282,1.0,0,0.0,175.7859981060028,17.271007996902707
333.0998840332031,-219.11279296875,-2.096924066543579,17.305371649848258,0.1610716836529537,0.5332714910977493,6.696700572967529,0.026525994762778282,1.0,0,0.0,175.83044338226318,17.306121229976597
333.9229736328125,-219.1370849609375,-1.7590332031249432,17.34177207378959,0.119023891475666,0.39323891762728225,7.298486232757568,0.026022106409072876,1.0,0,0.0,175.88099265098572,17.342180524547956
334.168701171875,-219.14376831054688,-1.6537169218062786,17.352447064161833,0.10749502506052994,0.35493164471006916,7.437051773071289,0.025652596727013588,1.0,0,0.0,175.89460730552673,17.352780016324513
334.7254333496094,-219.15789794921875,-1.4096070528030396,17.376363466616542,0.08296986110412713,0.27357777308858555,7.691219329833984,0.024980779737234116,1.0,0,0.0,175.92663502693176,17.37656155060079
335.53057861328125,-219.17530822753906,-1.0450743436813354,17.410333898697466,0.052418817303584275,0.17250490382742023,7.961251735687256,0.02461129054427147,1.0,0,0.0,175.97719597816467,17.410412809481045
336.29656982421875,-219.18821716308594,-0.6892700791358948,17.44202226547843,0.029449054545763464,0.09673792040282117,8.161419868469238,0.02461129054427147,1.0,0,0.0,176.02738618850708,17.44204712630541
337.36529541015625,-219.19960021972656,-0.1813964992761612,17.485453676151874,0.005064892434803875,0.016596478559302144,8.380270004272461,0.02461129054427147,1.0,0,0.0,176.0754313468933,17.48545440970833
338.427490234375,-219.20269775390625,0.33284828066825867,17.5279733655985,-0.013778813594207809,-0.04504044478080797,8.522830963134766,0.02390591986477375,1.0,0,0.0,176.12586736679077,17.527978781389326
338.9476623535156,-219.20114135742188,0.5854375958442688,17.548709662037535,-0.02359383387427874,-0.07703280401207367,8.520548820495605,0.023133397102355957,1.0,0,0.0,176.17542147636414,17.54872552271208
339.76678466796875,-219.1946563720703,0.9775514602661132,17.581490061602377,-0.04363770692991953,-0.14220929707242924,8.324808120727539,0.019069693982601166,1.0,0,0.0,176.22651195526123,17.581544216469986
340.8665466308594,-219.17898559570312,1.4686260223388672,17.625909523898883,-0.08295955534163418,-0.26967104121538554,7.503894805908203,0.01104476023465395,1.0,0,0.0,176.27796292304993,17.626104754950592
341.6876220703125,-219.16290283203125,1.789660096168518,17.65914043167533,-0.11376456970250998,-0.3691085455892318,6.5516204833984375,0.006713968235999346,1.0,0,0.0,176.3224024772644,17.659506877683473
341.9528503417969,-219.15695190429688,1.8826622962951658,17.66988804616569,-0.1231675972177867,-0.3993726108893309,6.194698810577393,0.0038604927249252796,1.0,0,0.0,176.33840918540955,17.670317309574084
342.2132873535156,-219.1507568359375,1.9684923887252808,17.68043065594226,-0.13191479392652777,-0.4274794534232055,5.825898170471191,0.002182010328397155,1.0,0,0.0,176.3544156551361,17.68092276133911
342.7696533203125,-219.13661193847656,2.130606174468994,17.702952906111406,-0.15107456053054213,-0.4889424258716533,4.929901123046875,-0.002182010328397155,1.0,0,0.0,176.3865201473236,17.70359751911565
343.57708740234375,-219.1140899658203,2.3124570846557617,17.73554765867343,-0.17412296251750592,-0.5624968966671529,3.504619598388672,-0.007888957858085632,1.0,0,0.0,176.43703746795654,17.73640238490186
344.6388854980469,-219.08172607421875,2.4514448642730713,17.77837173830453,-0.18792872170222308,-0.6056303649948541,1.636535882949829,-0.011581938713788986,1.0,0,0.0,176.4906370639801,17.779364973749367
345.45697021484375,-219.0550994873047,2.4885268211364746,17.81148308525492,-0.18115319746611735,-0.5827114973079978,0.42183351516723633,-0.011917678639292717,1.0,0,0.0,176.5219464302063,17.812404278403136
345.71337890625,-219.04647827148438,2.4898953437805176,17.82188348703048,-0.17648892452277576,-0.5673777492771344,0.09484095871448517,-0.011917678639292717,1.0,0,0.0,176.5514748096466,17.822757344635786
346.2494812011719,-219.02810668945312,2.4787819385528564,17.843639988822858,-0.16398058458374598,-0.5265254794851245,-0.5146589875221252,-0.011716234497725964,1.0,0,0.0,176.5859522819519,17.84439345236589
347.0491638183594,-219.00003051757812,2.433413028717041,17.876092777316224,-0.14085864697878014,-0.45146549581753487,-1.2415307760238647,-0.01124620158225298,1.0,0,0.0,176.6376929283142,17.87664773221327
347.8650207519531,-218.97091674804688,2.359279870986939,17.90912116016382,-0.11564084517145368,-0.3699589912428962,-1.8023401498794556,-0.010910467244684696,1.0,0,0.0,176.67066049575806,17.909494508067485
348.6637878417969,-218.9423370361328,2.265614748001099,17.94131064916922,-0.09312448686874653,-0.29739144182745675,-2.2400684356689453,-0.010910467244684696,1.0,0,0.0,176.71545124053955,17.941552329161695
349.46734619140625,-218.91395568847656,2.154529571533203,17.973523664112506,-0.07310180886075524,-0.23303177370063485,-2.593949317932129,-0.010910467244684696,1.0,0,0.0,176.76356554031372,17.973672323119473
350.2786560058594,-218.8860626220703,2.0283966064453125,18.005865725152642,-0.05603608030015572,-0.17830970419952297,-2.8918211460113525,-0.011145480908453465,1.0,0,0.0,176.81492400169373,18.00595291992407
351.1220703125,-218.8582763671875,1.8840330839157107,18.03924748172526,-0.04349547238881901,-0.13814890069112518,-3.1992406845092773,-0.01228699553757906,1.0,0,0.0,176.86343955993652,18.039299918872945
351.9375305175781,-218.83306884765625,1.728767395019531,18.07123355872158,-0.03733603445631439,-0.11837565951928847,-3.5683412551879883,-0.014335088431835175,1.0,0,0.0,176.8955111503601,18.071272127698535
352.82659912109375,-218.80784606933594,1.538336157798767,18.079365496107474,-0.03637025978605546,-0.11526176681649042,-4.0787153244018555,-0.016819823533296585,1.0,0,0.0,176.9459671974182,18.079402079096486
353.6263732910156,-218.7877655029297,1.3424283266067503,18.069338244781306,-0.03663204518064739,-0.11615581687312751,-4.6016364097595215,-0.018801042810082436,1.0,0,0.0,176.99152779579163,18.06937537689254
354.6966247558594,-218.76510620117188,1.0451565980911255,18.055083908597695,-0.03241983016737271,-0.10288057844950114,-5.247782230377197,-0.019573422148823738,1.0,0,0.0,177.0452938079834,18.055113015206842
