world_x,world_y
-50.4368476868,-123.4872741699
-51.4468154907,-123.4809036255
-52.3170051575,-123.474937439
-53.2974052429,-123.4676742554
-54.1715240479,-123.4608459473
-55.0331687927,-123.4539108276
-55.8935470581,-123.4473800659
-56.8920555115,-123.4406356812
-57.9291534424,-123.4344711304
-58.8542938232,-123.4297714233
-59.8529052734,-123.4256134033
-60.8396453857,-123.422454834
-61.8655357361,-123.4201889038
-62.7708282471,-123.419052124
-63.780834198,-123.4187088013
-64.6720352173,-123.4192352295
-65.6879653931,-123.420791626
-66.5983123779,-123.423034668
-67.6057662964,-123.4264755249
-68.4757461548,-123.4302215576
-69.5178985596,-123.4356994629
-70.4353866577,-123.4414138794
-71.4839324951,-123.4489440918
-72.3860244751,-123.4562759399
-73.40284729,-123.4654769897
-74.3422470093,-123.4748764038
-75.3498687744,-123.4859161377
-76.6794509888,-123.5019989014
-77.7080154419,-123.515625
-78.6016540527,-123.5282897949
-79.6228866577,-123.5437164307
-80.5356292725,-123.5583724976
-81.5563659668,-123.5757217407
-82.5714645386,-123.593963623
-83.569190979,-123.6128692627
-84.5702209473,-123.6328277588
-85.4382095337,-123.6509170532
-86.4624328613,-123.6732177734
-87.4987487793,-123.6968154907
-88.3666229248,-123.717376709
-89.3404693604,-123.7413024902
-90.311630249,-123.7660903931
-91.2433929443,-123.7907104492
-92.1526031494,-123.8155441284
-93.3284912109,-123.8487854004
-94.133895874,-123.8722991943
-95.3078308105,-123.9076843262
-96.4294433594,-123.9427032471
-97.5216445923,-123.9779434204
-98.5582809448,-124.0124893188
-99.4451828003,-124.0428848267
-100.4525680542,-124.0783462524
-101.3274002075,-124.109954834
-102.3073883057,-124.1462631226
-103.3070220947,-124.1843109131
-104.2310638428,-124.2203979492
-105.1946868896,-124.258934021
-106.0026245117,-124.2919998169
-106.9815979004,-124.332939148
-107.8969802856,-124.3721084595
-108.7219314575,-124.4081344605
-109.8264923096,-124.4574508667
-110.7526931763,-124.4989013672
-111.7956542969,-124.5449752808
-112.6574172974,-124.5827484131
-113.6106491089,-124.6241607666
-114.7383956909,-124.6726760864
-115.7781982422,-124.7169418335
-116.6554946899,-124.7539138794
-117.7212142944,-124.7983932495
-118.85546875,-124.8453063965
-119.9833068848,-124.8921737671
-121.1334915161,-124.9406738281
-122.0013580322,-124.9777679443
-123.1690597534,-125.0296096802
-124.2374191284,-125.0798492432
-125.0449295044,-125.1195297241
-126.2842025757,-125.1856155396
-127.3405609131,-125.2508468628
-128.2202453613,-125.3143692017
-129.2662506104,-125.4035644531
-130.4121246338,-125.5230407715
-131.5481872559,-125.6701889038
-132.6865081787,-125.8513641357
-133.4887237549,-126.0001144409
-134.6198730469,-126.2399978638
-135.4733886719,-126.4450759888
-136.5478363037,-126.7358016968
-137.6504058838,-127.0810775757
-138.4672088623,-127.3765106201
-139.4562225342,-127.7915878296
-140.2507019043,-128.1802520752
-141.1691741943,-128.7064056396
-141.9024200439,-129.2010192871
-142.5882720947,-129.7343139648
-143.3730773926,-130.4421844482
-144.1487731934,-131.2652435303
-144.6991119385,-131.9396057129
-145.3074035645,-132.7923278809
-145.891708374,-133.7520294189
-146.3383789063,-134.6212463379
-146.7493591309,-135.5831756592
-147.0589141846,-136.4788360596
-147.3157348633,-137.4515075684
-147.498046875,-138.4640655518
-147.587600708,-139.3118286133
-147.62059021,-140.3704681396
-147.5665740967,-141.4315490723
-147.4335479736,-142.4396972656
-147.2663421631,-143.2545013428
-147.0443878174,-144.0663146973
-146.753036499,-144.9067382813
-146.3402557373,-145.8623046875
-145.8157653809,-146.8561248779
-145.2615356445,-147.7729644775
-144.7299041748,-148.5895996094
