world_x,world_y,world_heading,local_vx,local_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake
795.29638671875,-364.71435546875,174.34323120117188,24.7911901034053,-0.002467213480543684,-0.005702062746805659,1.418740153312683,0.0027191229164600372,1.0,0,0.0
794.3358154296875,-364.61932373046875,174.3991241455078,24.87548778892243,-0.01570111537093366,-0.036164418077514096,1.4616122245788574,0.0027191229164600372,1.0,0,0.0
793.3789672851562,-364.5250549316406,174.4558868408203,24.958836602245082,-0.026423877337786283,-0.06065892149289865,1.4910945892333984,0.0027191229164600372,1.0,0,0.0
791.5226440429688,-364.34393310546875,174.56787109375,25.11888383420736,-0.041676068868298,-0.09506237292441581,1.5234986543655396,0.0027191229164600372,1.0,0,0.0
790.5611572265625,-364.2511291503906,174.62628173828125,25.200958512406327,-0.047358016395482316,-0.10767095689771891,1.532196044921875,0.0027191229164600372,1.0,0,0.0
789.5489501953125,-364.15423583984375,174.68783569335938,25.286784573735424,-0.052088550460809735,-0.11802409765966816,1.537621259689331,0.0027191229164600372,1.0,0,0.0
788.6082153320312,-364.0650634765625,174.74501037597656,25.366005985229755,-0.05549644815061994,-0.12535309026487024,1.5401852130889893,0.0027191229164600372,1.0,0,0.0
787.56396484375,-363.9670715332031,174.80841064453125,25.45335885859288,-0.058509797163010635,-0.13170594139449274,1.5415793657302856,0.0027191229164600372,1.0,0,0.0
786.624267578125,-363.8796691894531,174.86526489257812,25.531444167856318,-0.06055357246180959,-0.13588959823647245,1.541766881942749,0.0027191229164600372,1.0,0,0.0
785.6492309570312,-363.7899475097656,174.92413330078125,25.61196229940147,-0.062245520233691565,-0.13924737981783894,1.5416103601455688,0.0027191229164600372,1.0,0,0.0
784.6776123046875,-363.70147705078125,174.9825744628906,25.691661732315836,-0.06356129934100485,-0.14174975766807651,1.5412487983703613,0.0027191229164600372,1.0,0,0.0
783.5042114257812,-363.5959167480469,175.05288696289062,25.78726322084595,-0.06482905585170862,-0.14404101344215853,1.5409172773361206,0.0027191229164600372,1.0,0,0.0
782.5859985351562,-363.5142517089844,175.1077575683594,25.86156545758681,-0.06555955269911573,-0.1452455652898069,1.5405869483947754,0.0027191229164600372,1.0,0,0.0
780.677490234375,-363.34722900390625,175.22132873535156,26.014592567205543,-0.06676863791711174,-0.14705411248655492,1.5408114194869995,0.0027191229164600372,1.0,0,0.0
779.7249755859375,-363.2652587890625,175.2777862548828,26.090268542253035,-0.06727173111433382,-0.14773239268405772,1.5413031578063965,0.0027191229164600372,1.0,0,0.0
778.8201293945312,-363.188232421875,175.33131408691406,26.161741552038176,-0.0677181353690206,-0.14830644001102306,1.5419707298278809,0.0027191229164600372,1.0,0,0.0
777.879150390625,-363.1090087890625,175.38682556152344,26.23563669843768,-0.06815333700209569,-0.14883914950270324,1.5428967475891113,0.0027191229164600372,1.0,0,0.0
776.943603515625,-363.0311279296875,175.44189453124997,26.308675565437078,-0.0685729811320801,-0.14933984675113549,1.5439995527267456,0.0027191229164600372,1.0,0,0.0
776.0422973632812,-362.9569396972656,175.49490356445312,26.378636453765086,-0.06900386572922423,-0.14987966996097446,1.5452206134796143,0.0027191229164600372,1.0,0,0.0
775.1167602539062,-362.8816223144531,175.5487060546875,26.450080520536467,-0.06996616807363054,-0.15155934420048295,1.5273479223251343,0.002517705550417304,1.0,0,0.0
773.9215698242188,-362.78564453125,175.61605834960938,26.541759683039885,-0.07164486945617465,-0.15465963043309858,1.472172737121582,0.0022155798505991697,1.0,0,0.0
772.05029296875,-362.63720703125,175.69078063964844,26.68414093000594,-0.08657125084397,-0.18588381749237406,0.7358472943305969,-0.002517705550417304,1.0,0,0.0
771.146484375,-362.56591796875,175.70372009277344,26.752330333437044,-0.09173191394609215,-0.19646254892097698,0.2117243856191635,-0.004296901635825634,1.0,0,0.0
770.1923217773438,-362.49078369140625,175.69685363769534,26.82390857958889,-0.09234339160054006,-0.1972444014998377,-0.38763460516929626,-0.005673278588801622,1.0,0,0.0
